citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
82 FR 7619, 2017-01487,7620,https://www.federalregister.gov/documents/2017/01/19/2017-01487/providing-an-order-of-succession-within-the-department-of-justice,https://www.govinfo.gov/content/pkg/FR-2017-01-19/pdf/2017-01487.pdf,Presidential Document,Executive Order,01/19/2017,2017-01-13,7619,Providing an Order of Succession Within the Department of Justice,"Revokes: EO 13557, November 4, 2010
Revoked by: EO 13775, February 9, 2017",13762,""
82 FR 7621, 2017-01489,7622,https://www.federalregister.gov/documents/2017/01/19/2017-01489/providing-an-order-of-succession-within-the-environmental-protection-agency,https://www.govinfo.gov/content/pkg/FR-2017-01-19/pdf/2017-01489.pdf,Presidential Document,Executive Order,01/19/2017,2017-01-13,7621,Providing an Order of Succession Within the Environmental Protection Agency,"Revokes: EO 13737, August 12, 2016",13763,""
82 FR 5331, 2017-01197,5333,https://www.federalregister.gov/documents/2017/01/18/2017-01197/recognizing-positive-actions-by-the-government-of-sudan-and-providing-for-the-revocation-of-certain,https://www.govinfo.gov/content/pkg/FR-2017-01-18/pdf/2017-01197.pdf,Presidential Document,Executive Order,01/18/2017,2017-01-13,5331,Recognizing Positive Actions by the Government of Sudan and Providing for the Revocation of Certain Sudan-Related Sanctions,"See: EO 14098, May 4, 2023
Revokes in part: EO 13067, November 3, 1997
Revokes: EO 13412, October 13, 2006
Amended by: EO 13804, July 11, 2017",13761,""
82 FR 5321, 2017-01164,5322,https://www.federalregister.gov/documents/2017/01/17/2017-01164/amending-executive-order-11016-to-update-eligibility-criteria-for-award-of-the-purple-heart,https://www.govinfo.gov/content/pkg/FR-2017-01-17/pdf/2017-01164.pdf,Presidential Document,Executive Order,01/17/2017,2017-01-12,5321,Amending Executive Order 11016 To Update Eligibility Criteria for Award of the Purple Heart,"Amends: EO 11016, April 25, 1962",13758,""
82 FR 5323, 2017-01168,5324,https://www.federalregister.gov/documents/2017/01/17/2017-01168/designating-the-world-organisation-for-animal-health-as-a-public-international-organization-entitled,https://www.govinfo.gov/content/pkg/FR-2017-01-17/pdf/2017-01168.pdf,Presidential Document,Executive Order,01/17/2017,2017-01-12,5323,"Designating the World Organisation for Animal Health as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","",13759,""
82 FR 5325, 2017-01169,5329,https://www.federalregister.gov/documents/2017/01/17/2017-01169/exclusions-from-the-federal-labor-management-relations-program,https://www.govinfo.gov/content/pkg/FR-2017-01-17/pdf/2017-01169.pdf,Presidential Document,Executive Order,01/17/2017,2017-01-12,5325,Exclusions From the Federal Labor-Management Relations Program,"Amends: EO 12171, November 19, 1979",13760,""
82 FR 1, 2016-31922,3,https://www.federalregister.gov/documents/2017/01/03/2016-31922/taking-additional-steps-to-address-the-national-emergency-with-respect-to-significant-malicious,https://www.govinfo.gov/content/pkg/FR-2017-01-03/pdf/2016-31922.pdf,Presidential Document,Executive Order,01/03/2017,2016-12-28,1,Taking Additional Steps to Address the National Emergency With Respect to Significant Malicious Cyber- Enabled Activities,"Amends: EO 13694, April 1, 2015
See: EO 14144, January 16, 2025",13757,""
81 FR 96329, 2016-31792,96330,https://www.federalregister.gov/documents/2016/12/30/2016-31792/providing-an-order-of-succession-within-the-department-of-labor,https://www.govinfo.gov/content/pkg/FR-2016-12-30/pdf/2016-31792.pdf,Presidential Document,Executive Order,12/30/2016,2016-12-23,96329,Providing an Order of Succession Within the Department of Labor,"",13755,""
81 FR 97099, 2016-31875,97110,https://www.federalregister.gov/documents/2016/12/30/2016-31875/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2016-12-30/pdf/2016-31875.pdf,Presidential Document,Executive Order,12/30/2016,2016-12-27,97099,Adjustments of Certain Rates of Pay,"Supersedes: EO 13715, December 18, 2015
Superseded by: EO 13819, December 22, 2017",13756,""
81 FR 90669, 2016-30277,90674,https://www.federalregister.gov/documents/2016/12/14/2016-30277/northern-bering-sea-climate-resilience,https://www.govinfo.gov/content/pkg/FR-2016-12-14/pdf/2016-30277.pdf,Presidential Document,Executive Order,12/14/2016,2016-12-09,90669,Northern Bering Sea Climate Resilience,"Revoked by: EO 13795, April 28, 2017",13754,""
81 FR 90667, 2016-30272,90668,https://www.federalregister.gov/documents/2016/12/14/2016-30272/amending-the-order-of-succession-in-the-department-of-homeland-security,https://www.govinfo.gov/content/pkg/FR-2016-12-14/pdf/2016-30272.pdf,Presidential Document,Executive Order,12/14/2016,2016-12-09,90667,Amending the Order of Succession in the Department of Homeland Security,"Amends: EO 13286, February 28, 2003
Revokes: EO 13442, August 13, 2007
Revoked by: EO 14135 January 3, 2025",13753,""
81 FR 90181, 2016-30101,90182,https://www.federalregister.gov/documents/2016/12/13/2016-30101/relating-to-the-implementation-of-the-convention-on-the-international-recovery-of-child-support-and,https://www.govinfo.gov/content/pkg/FR-2016-12-13/pdf/2016-30101.pdf,Presidential Document,Executive Order,12/13/2016,2016-12-08,90181,Relating to the Implementation of the Convention on the International Recovery of Child Support and Other Forms of Family Maintenance,"",13752,""
81 FR 88609, 2016-29519,88614,https://www.federalregister.gov/documents/2016/12/08/2016-29519/safeguarding-the-nation-from-the-impacts-of-invasive-species,https://www.govinfo.gov/content/pkg/FR-2016-12-08/pdf/2016-29519.pdf,Presidential Document,Executive Order,12/08/2016,2016-12-05,88609,Safeguarding the Nation From the Impacts of Invasive Species,"Amends: EO 13112, February 3, 1999",13751,""
81 FR 87391, 2016-29165,87392,https://www.federalregister.gov/documents/2016/12/02/2016-29165/providing-for-the-appointment-in-the-competitive-service-of-certain-employees-of-the-foreign-service,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-29165.pdf,Presidential Document,Executive Order,12/02/2016,2016-11-29,87391,Providing for the Appointment in the Competitive Service of Certain Employees of the Foreign Service,"See: EO 13597, January 19, 2012",13749,""
81 FR 87393, 2016-29169,87394,https://www.federalregister.gov/documents/2016/12/02/2016-29169/providing-for-the-appointment-of-alumni-of-the-fulbright-us-student-program-the-benjamin-a-gilman,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-29169.pdf,Presidential Document,Executive Order,12/02/2016,2016-11-29,87393,"Providing for the Appointment of Alumni of the Fulbright U.S. Student Program, the Benjamin A. Gilman International Scholarship Program, and the Critical Language Scholarship Program to the Competitive Service","",13750,""
81 FR 83619, 2016-28203,83622,https://www.federalregister.gov/documents/2016/11/21/2016-28203/establishing-a-community-solutions-council,https://www.govinfo.gov/content/pkg/FR-2016-11-21/pdf/2016-28203.pdf,Presidential Document,Executive Order,11/21/2016,2016-11-16,83619,Establishing a Community Solutions Council,"Revokes: EO 13602, March 15, 2012
Supersedes: EO 13560, December 14, 2010",13748,""
81 FR 78701, 2016-27171,78706,https://www.federalregister.gov/documents/2016/11/09/2016-27171/advancing-the-global-health-security-agenda-to-achieve-a-world-safe-and-secure-from-infectious,https://www.govinfo.gov/content/pkg/FR-2016-11-09/pdf/2016-27171.pdf,Presidential Document,Executive Order,11/09/2016,2016-11-04,78701,Advancing the Global Health Security Agenda To Achieve a World Safe and Secure From Infectious Disease Threats,"",13747,""
81 FR 78697, 2016-27156,78700,https://www.federalregister.gov/documents/2016/11/08/2016-27156/advancing-the-goals-of-the-power-africa-initiative-to-expand-access-to-electricity-in-sub--saharan,https://www.govinfo.gov/content/pkg/FR-2016-11-08/pdf/2016-27156.pdf,Presidential Document,Executive Order,11/08/2016,2016-11-03,78697,Advancing the Goals of the Power Africa Initiative to Expand Access to Electricity in Sub- Saharan Africa Through the Establishment of the President's Power Africa Working Group,"",13746,""
81 FR 76493, 2016-26753,76493,https://www.federalregister.gov/documents/2016/11/03/2016-26753/delegation-of-function-to-the-director-of-the-office-of-personnel-management,https://www.govinfo.gov/content/pkg/FR-2016-11-03/pdf/2016-26753.pdf,Presidential Document,Executive Order,11/03/2016,2016-10-31,76493,Delegation of Function to the Director of the Office of Personnel Management,"",13745,""
81 FR 71571, 2016-25288,71572,https://www.federalregister.gov/documents/2016/10/18/2016-25288/charitable-fundraising,https://www.govinfo.gov/content/pkg/FR-2016-10-18/pdf/2016-25288.pdf,Presidential Document,Executive Order,10/18/2016,2016-10-13,71571,Charitable Fundraising,"Amends: EO 12353, March 23, 1982",13743,""
81 FR 71573, 2016-25290,71577,https://www.federalregister.gov/documents/2016/10/18/2016-25290/coordinating-efforts-to-prepare-the-nation-for-space-weather-events,https://www.govinfo.gov/content/pkg/FR-2016-10-18/pdf/2016-25290.pdf,Presidential Document,Executive Order,10/18/2016,2016-10-13,71573,Coordinating Efforts To Prepare the Nation for Space Weather Events,"See: EO 12881, November 23, 1993; EO 13642, May 9, 2013",13744,""
81 FR 70593, 2016-24847,70594,https://www.federalregister.gov/documents/2016/10/12/2016-24847/termination-of-emergency-with-respect-to-the-actions-and-policies-of-the-government-of-burma,https://www.govinfo.gov/content/pkg/FR-2016-10-12/pdf/2016-24847.pdf,Presidential Document,Executive Order,10/12/2016,2016-10-07,70593,Termination of Emergency With Respect to the Actions and Policies of the Government of Burma,"Revokes: EO 13047, May 20, 1997; EO 13310, July 28, 2003; EO 13448, October 18, 2007; EO 13464, April 30, 2008; EO 13619, July 11, 2012
See: EO 13651, August 6, 2013; Proc. 8693",13742,""
81 FR 68289, 2016-24066,68292,https://www.federalregister.gov/documents/2016/10/04/2016-24066/amending-executive-order-13467-to-establish-the-roles-and-responsibilities-of-the-national,https://www.govinfo.gov/content/pkg/FR-2016-10-04/pdf/2016-24066.pdf,Presidential Document,Executive Order,10/04/2016,2016-09-29,68289,Amending Executive Order 13467 To Establish the Roles and Responsibilities of the National Background Investigations Bureau and Related Matters,"Amends: EO 12171, November 19, 1979; EO 13467, June 30, 2008",13741,""
81 FR 65175, 2016-22962,65264,https://www.federalregister.gov/documents/2016/09/22/2016-22962/2016-amendments-to-the-manual-for-courts-martial-united-states,https://www.govinfo.gov/content/pkg/FR-2016-09-22/pdf/2016-22962.pdf,Presidential Document,Executive Order,09/22/2016,2016-09-16,65175,"2016 Amendments to the Manual for Courts-Martial, United States","Amends: EO 12473, April 13, 1984",13740,""
81 FR 63673, 2016-22454,63674,https://www.federalregister.gov/documents/2016/09/16/2016-22454/termination-of-emergency-with-respect-to-the-situation-in-or-in-relation-to-cte-divoire,https://www.govinfo.gov/content/pkg/FR-2016-09-16/pdf/2016-22454.pdf,Presidential Document,Executive Order,09/16/2016,2016-09-14,63673,Termination of Emergency With Respect to the Situation in or in Relation to Côte d'Ivoire,"Revokes: EO 13396, February 7, 2006",13739,""
81 FR 58807, 2016-20713,58808,https://www.federalregister.gov/documents/2016/08/26/2016-20713/amendment-to-executive-order-13673,https://www.govinfo.gov/content/pkg/FR-2016-08-26/pdf/2016-20713.pdf,Presidential Document,Executive Order,08/26/2016,2016-08-23,58807,Amendment to Executive Order 13673,"Amends: EO 13673, July 31, 2014
Revoked by: EO 13783, March 28, 2017",13738,""
81 FR 54711, 2016-19724,54712,https://www.federalregister.gov/documents/2016/08/17/2016-19724/providing-an-order-of-succession-within-the-department-of-veterans-affairs,https://www.govinfo.gov/content/pkg/FR-2016-08-17/pdf/2016-19724.pdf,Presidential Document,Executive Order,08/17/2016,2016-08-12,54711,Providing an Order of Succession Within the Department of Veterans Affairs,"",13736,""
81 FR 54713, 2016-19725,54714,https://www.federalregister.gov/documents/2016/08/17/2016-19725/providing-an-order-of-succession-within-the-environmental-protection-agency,https://www.govinfo.gov/content/pkg/FR-2016-08-17/pdf/2016-19725.pdf,Presidential Document,Executive Order,08/17/2016,2016-08-12,54713,Providing an Order of Succession Within the Environmental Protection Agency,"Revoked by: EO 13763, January 13, 2017",13737,""
81 FR 54709, 2016-19723,54710,https://www.federalregister.gov/documents/2016/08/17/2016-19723/providing-an-order-of-succession-within-the-department-of-the-treasury,https://www.govinfo.gov/content/pkg/FR-2016-08-17/pdf/2016-19723.pdf,Presidential Document,Executive Order,08/17/2016,2016-08-12,54709,Providing an Order of Succession Within the Department of the Treasury,"Revoked by: EO 14137 January 3, 2025",13735,""
81 FR 52321, 2016-18872,52322,https://www.federalregister.gov/documents/2016/08/08/2016-18872/amending-executive-order-13675-to-expand-membership-on-the-presidents-advisory-council-on-doing,https://www.govinfo.gov/content/pkg/FR-2016-08-08/pdf/2016-18872.pdf,Presidential Document,Executive Order,08/08/2016,2016-08-03,52321,Amending Executive Order 13675 To Expand Membership on the President's Advisory Council on Doing Business in Africa,"",13734,""
81 FR 49515, 2016-17945,49516,https://www.federalregister.gov/documents/2016/07/27/2016-17945/delegation-of-certain-authorities-and-assignment-of-certain-functions-under-the-trade-facilitation,https://www.govinfo.gov/content/pkg/FR-2016-07-27/pdf/2016-17945.pdf,Presidential Document,Executive Order,07/27/2016,2016-07-22,49515,Delegation of Certain Authorities and Assignment of Certain Functions Under the Trade Facilitation and Trade Enforcement Act of 2015,"",13733,""
81 FR 44485, 2016-16295,44487,https://www.federalregister.gov/documents/2016/07/07/2016-16295/united-states-policy-on-pre--and-post-strike-measures-to-address-civilian-casualties-in-us,https://www.govinfo.gov/content/pkg/FR-2016-07-07/pdf/2016-16295.pdf,Presidential Document,Executive Order,07/07/2016,2016-07-01,44485,United States Policy on Pre- and Post-Strike Measures To Address Civilian Casualties in U.S. Operations Involving the Use of Force,"",13732,""
81 FR 42221, 2016-15542,42223,https://www.federalregister.gov/documents/2016/06/29/2016-15542/global-entrepreneurship,https://www.govinfo.gov/content/pkg/FR-2016-06-29/pdf/2016-15542.pdf,Presidential Document,Executive Order,06/29/2016,2016-06-24,42221,Global Entrepreneurship,"",13731,""
81 FR 33331, 2016-12579,33358,https://www.federalregister.gov/documents/2016/05/26/2016-12579/2016-amendments-to-the-manual-for-courts-martial-united-states,https://www.govinfo.gov/content/pkg/FR-2016-05-26/pdf/2016-12579.pdf,Presidential Document,Executive Order,05/26/2016,2016-05-20,33331,"2016 Amendments to the Manual for Courts-Martial, United States","See: EO 12473, April 13, 1984",13730,""
81 FR 32611, 2016-12307,32615,https://www.federalregister.gov/documents/2016/05/23/2016-12307/a-comprehensive-approach-to-atrocity-prevention-and-response,https://www.govinfo.gov/content/pkg/FR-2016-05-23/pdf/2016-12307.pdf,Presidential Document,Executive Order,05/23/2016,2016-05-18,32611,A Comprehensive Approach to Atrocity Prevention and Response,"",13729,""
81 FR 32223, 2016-12155,32225,https://www.federalregister.gov/documents/2016/05/20/2016-12155/wildland-urban-interface-federal-risk-mitigation,https://www.govinfo.gov/content/pkg/FR-2016-05-20/pdf/2016-12155.pdf,Presidential Document,Executive Order,05/20/2016,2016-05-18,32223,Wildland-Urban Interface Federal Risk Mitigation,"",13728,""
81 FR 29465, 2016-11300,29467,https://www.federalregister.gov/documents/2016/05/11/2016-11300/facilitation-of-a-presidential-transition,https://www.govinfo.gov/content/pkg/FR-2016-05-11/pdf/2016-11300.pdf,Presidential Document,Executive Order,05/11/2016,2016-05-06,29465,Facilitation of a Presidential Transition,"See: Memorandum of July 11, 2001",13727,""
81 FR 23559, 2016-09483,23562,https://www.federalregister.gov/documents/2016/04/21/2016-09483/blocking-property-and-suspending-entry-into-the-united-states-of-persons-contributing-to-the,https://www.govinfo.gov/content/pkg/FR-2016-04-21/pdf/2016-09483.pdf,Presidential Document,Executive Order,04/21/2016,2016-04-19,23559,Blocking Property and Suspending Entry Into the United States of Persons Contributing to the Situation in Libya,"See: EO 13566, February 25, 2011; Proc. 8693",13726,""
81 FR 23417, 2016-09346,23419,https://www.federalregister.gov/documents/2016/04/20/2016-09346/steps-to-increase-competition-and-better-inform-consumers-and-workers-to-support-continued-growth-of,https://www.govinfo.gov/content/pkg/FR-2016-04-20/pdf/2016-09346.pdf,Presidential Document,Executive Order,04/20/2016,2016-04-15,23417,Steps to Increase Competition and Better Inform Consumers and Workers to Support Continued Growth of the American Economy,"",13725,""
81 FR 22021, 2016-08713,22021,https://www.federalregister.gov/documents/2016/04/13/2016-08713/amending-executive-order-12137,https://www.govinfo.gov/content/pkg/FR-2016-04-13/pdf/2016-08713.pdf,Presidential Document,Executive Order,04/13/2016,2016-04-08,22021,Amending Executive Order 12137,"Amends: EO 12137, May 16, 1979",13724,""
81 FR 19017, 2016-07703,19018,https://www.federalregister.gov/documents/2016/04/01/2016-07703/establishing-the-inherent-resolve-campaign-medal,https://www.govinfo.gov/content/pkg/FR-2016-04-01/pdf/2016-07703.pdf,Presidential Document,Executive Order,04/01/2016,2016-03-30,19017,Establishing the Inherent Resolve Campaign Medal,"See: EO 13289, March 12, 2003",13723,""
81 FR 14943, 2016-06355,14946,https://www.federalregister.gov/documents/2016/03/18/2016-06355/blocking-property-of-the-government-of-north-korea-and-the-workers-party-of-korea-and-prohibiting,https://www.govinfo.gov/content/pkg/FR-2016-03-18/pdf/2016-06355.pdf,Presidential Document,Executive Order,03/18/2016,2016-03-15,14943,"Blocking Property of the Government of North Korea and the Workers' Party of Korea, and Prohibiting Certain Transactions With Respect to North Korea","See: EO 13466, June 26, 2008; EO 13810, September 20, 2017",13722,""
81 FR 14685, 2016-06250,14688,https://www.federalregister.gov/documents/2016/03/17/2016-06250/developing-an-integrated-global-engagement-center-to-support-government-wide-counterterrorism,https://www.govinfo.gov/content/pkg/FR-2016-03-17/pdf/2016-06250.pdf,Presidential Document,Executive Order,03/17/2016,2016-03-14,14685,Developing an Integrated Global Engagement Center To Support Government-wide Counterterrorism Communications Activities Directed Abroad and Revoking Executive Order 13584,"Revokes: EO 13584, September 9, 2011",13721,""
81 FR 11089, 2016-04770,11090,https://www.federalregister.gov/documents/2016/03/02/2016-04770/delegation-of-certain-authorities-and-assignment-of-certain-functions-under-the-trade-preferences,https://www.govinfo.gov/content/pkg/FR-2016-03-02/pdf/2016-04770.pdf,Presidential Document,Executive Order,03/02/2016,2016-02-26,11089,Delegation of Certain Authorities and Assignment of Certain Functions Under the Trade Preferences Extension Act of 2015,"",13720,""
81 FR 7441, 2016-03038,7444,https://www.federalregister.gov/documents/2016/02/12/2016-03038/commission-on-enhancing-national-cybersecurity,https://www.govinfo.gov/content/pkg/FR-2016-02-12/pdf/2016-03038.pdf,Presidential Document,Executive Order,02/12/2016,2016-02-09,7441,Commission on Enhancing National Cybersecurity,"",13718,""
81 FR 7687, 2016-03141,7689,https://www.federalregister.gov/documents/2016/02/12/2016-03141/establishment-of-the-federal-privacy-council,https://www.govinfo.gov/content/pkg/FR-2016-02-12/pdf/2016-03141.pdf,Presidential Document,Executive Order,02/12/2016,2016-02-09,7687,Establishment of the Federal Privacy Council,"",13719,""
81 FR 6407, 2016-02475,6410,https://www.federalregister.gov/documents/2016/02/05/2016-02475/establishing-a-federal-earthquake-risk-management-standard,https://www.govinfo.gov/content/pkg/FR-2016-02-05/pdf/2016-02475.pdf,Presidential Document,Executive Order,02/05/2016,2016-02-02,6407,Establishing a Federal Earthquake Risk Management Standard,"Revokes: EO 12699, January 5, 1990; EO 12941, December 1, 1994",13717,""
81 FR 3693, 2016-01325,3698,https://www.federalregister.gov/documents/2016/01/21/2016-01325/revocation-of-executive-orders-13574-13590-13622-and-13645-with-respect-to-iran-amendment-of,https://www.govinfo.gov/content/pkg/FR-2016-01-21/pdf/2016-01325.pdf,Presidential Document,Executive Order,01/21/2016,2016-01-16,3693,"Revocation of Executive Orders 13574, 13590, 13622, and 13645 With Respect to Iran, Amendment of Executive Order 13628 With Respect to Iran, and Provision of Implementation Authorities for Aspects of Certain Statutory Sanctions Outside the Scope of U.S. Commitments Under the Joint Comprehensive Plan of Action of July 14, 2015","Amends: EO 13628, October 9, 2012
Revokes: EO 13574, May 23, 2011; EO 13590, November 20, 2011; EO 13622, July 30, 2012; EO 13645, June 3, 2013",13716,""
80 FR 80195, 2015-32582,80206,https://www.federalregister.gov/documents/2015/12/23/2015-32582/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2015-12-23/pdf/2015-32582.pdf,Presidential Document,Executive Order,12/23/2015,2015-12-18,80195,Adjustments of Certain Rates of Pay,"Supersedes: EO 13686, December 19, 2014
Superseded by: EO 13756, December 27, 2016",13715,""
80 FR 79225, 2015-32060,79229,https://www.federalregister.gov/documents/2015/12/18/2015-32060/strengthening-the-senior-executive-service,https://www.govinfo.gov/content/pkg/FR-2015-12-18/pdf/2015-32060.pdf,Presidential Document,Executive Order,12/18/2015,2015-12-15,79225,Strengthening the Senior Executive Service,"See: EO 13583, August 18, 2011",13714,""
80 FR 78117, 2015-31749,78118,https://www.federalregister.gov/documents/2015/12/16/2015-31749/half-day-closing-of-executive-departments-and-agencies-of-the-federal-government-on-thursday,https://www.govinfo.gov/content/pkg/FR-2015-12-16/pdf/2015-31749.pdf,Presidential Document,Executive Order,12/16/2015,2015-12-11,78117,"Half-Day Closing of Executive Departments and Agencies of the Federal Government on Thursday, December 24, 2015","See: EO 11582, February 11, 1971",13713,""
80 FR 73633, 2015-30191,73636,https://www.federalregister.gov/documents/2015/11/25/2015-30191/blocking-property-of-certain-persons-contributing-to-the-situation-in-burundi,https://www.govinfo.gov/content/pkg/FR-2015-11-25/pdf/2015-30191.pdf,Presidential Document,Executive Order,11/25/2015,2015-11-22,73633,Blocking Property of Certain Persons Contributing to the Situation in Burundi,"See: Proc. 8693, July 24, 2011 (76 FR 44751) 
Revoked by: EO 14054, November 18, 2021",13712,""
80 FR 71923, 2015-29498,71925,https://www.federalregister.gov/documents/2015/11/17/2015-29498/establishing-an-emergency-board-to-investigate-disputes-between-new-jersey-transit-rail-and-certain,https://www.govinfo.gov/content/pkg/FR-2015-11-17/pdf/2015-29498.pdf,Presidential Document,Executive Order,11/17/2015,2015-11-12,71923,Establishing an Emergency Board To Investigate Disputes Between New Jersey Transit Rail and Certain of Its Employees Represented by Certain Labor Organizations,"See: EO 13700, July 15, 2015",13711,""
80 FR 71679, 2015-29403,71680,https://www.federalregister.gov/documents/2015/11/16/2015-29403/termination-of-emergency-with-respect-to-the-actions-and-policies-of-former-liberian-president,https://www.govinfo.gov/content/pkg/FR-2015-11-16/pdf/2015-29403.pdf,Presidential Document,Executive Order,11/16/2015,2015-11-12,71679,Termination of Emergency With Respect to the Actions and Policies of Former Liberian President Charles Taylor,"Revokes: EO 13348, July 22, 2004",13710,""
80 FR 60793, 2015-25744,60794,https://www.federalregister.gov/documents/2015/10/07/2015-25744/national-security-medal,https://www.govinfo.gov/content/pkg/FR-2015-10-07/pdf/2015-25744.pdf,Presidential Document,Executive Order,10/07/2015,2015-10-02,60793,National Security Medal,"Amends: EO 10431, January 19, 1953
Supersedes in part: EO 10431, January 19, 1953",13709,""
80 FR 60271, 2015-25489,60273,https://www.federalregister.gov/documents/2015/10/05/2015-25489/continuance-or-reestablishment-of-certain-federal-advisory-committees,https://www.govinfo.gov/content/pkg/FR-2015-10-05/pdf/2015-25489.pdf,Presidential Document,Executive Order,10/05/2015,2015-09-30,60271,Continuance or Reestablishment of Certain Federal Advisory Committees,"Amends: EO 12829, January 6, 1993
Supersedes in part: EO 13652, September 30, 2013
Continues: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 11612, July 26, 1971; EO 12216, June 18, 1980; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12829, January 6, 1993; EO 12905, March 25, 1994; EO 12915, May 13, 1994; EO 12916, May 13, 1994; EO 12963, June 14, 1995; EO 12994, March 21, 1996; EO 13112, February 3, 1999; EO 13158, May 26, 2000; EO 13179, December 7, 2000; EO 13231, October 16, 2001; EO 13265, June 6, 2002; EO 13498, February 5, 2009; EO 13515, October 14, 2009; EO 13521, November 24, 2009; EO 13522, December 9, 2009; EO 13532, February 26, 2010; EO 13538, April 19, 2010; EO 13539, April 21, 2010; EO 13540, April 26, 2010; EO 13544, June 10, 2010; EO 13549, August 18, 2010; EO 13555, October 19, 2010; EO 13600, February 9, 2012; EO 13621, July 26, 2012; EO 13648, July 1, 2013; EO 13675, August 5, 2014; EO 13676, September 18, 2014; Proc. 8967, April 30, 2013 (80 FR 60271)
Amended by: EO 13811, September 29, 2017",13708,""
80 FR 56365, 2015-23630,56367,https://www.federalregister.gov/documents/2015/09/18/2015-23630/using-behavioral-science-insights-to-better-serve-the-american-people,https://www.govinfo.gov/content/pkg/FR-2015-09-18/pdf/2015-23630.pdf,Presidential Document,Executive Order,09/18/2015,2015-09-15,56365,Using Behavioral Science Insights To Better Serve the American People,"See: EO 13563, January 18, 2011; EO 13610, May 10, 2012",13707,""
80 FR 54697, 2015-22998,54700,https://www.federalregister.gov/documents/2015/09/10/2015-22998/establishing-paid-sick-leave-for-federal-contractors,https://www.govinfo.gov/content/pkg/FR-2015-09-10/pdf/2015-22998.pdf,Presidential Document,Executive Order,09/10/2015,2015-09-07,54697,Establishing Paid Sick Leave for Federal Contractors,"",13706,""
80 FR 54405, 2015-22888,54406,https://www.federalregister.gov/documents/2015/09/09/2015-22888/designating-the-international-renewable-energy-agency-as-a-public-international-organization,https://www.govinfo.gov/content/pkg/FR-2015-09-09/pdf/2015-22888.pdf,Presidential Document,Executive Order,09/09/2015,2015-09-03,54405,"Designating the International Renewable Energy Agency as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","",13705,""
80 FR 50751, 2015-20801,50753,https://www.federalregister.gov/documents/2015/08/20/2015-20801/presidential-innovation-fellows-program,https://www.govinfo.gov/content/pkg/FR-2015-08-20/pdf/2015-20801.pdf,Presidential Document,Executive Order,08/20/2015,2015-08-17,50751,Presidential Innovation Fellows Program,"",13704,""
80 FR 46181, 2015-19209,46184,https://www.federalregister.gov/documents/2015/08/04/2015-19209/implementing-the-national-hivaids-strategy-for-the-united-states-for-2015-2020,https://www.govinfo.gov/content/pkg/FR-2015-08-04/pdf/2015-19209.pdf,Presidential Document,Executive Order,08/04/2015,2015-07-30,46181,Implementing the National HIV/AIDS Strategy for the United States for 2015-2020,"See: EO 12963, June 14, 1995; EO 13649, July 15, 2013",13703,""
80 FR 46177, 2015-19183,46180,https://www.federalregister.gov/documents/2015/08/03/2015-19183/creating-a-national-strategic-computing-initiative,https://www.govinfo.gov/content/pkg/FR-2015-08-03/pdf/2015-19183.pdf,Presidential Document,Executive Order,08/03/2015,2015-07-29,46177,Creating a National Strategic Computing Initiative,"See: EO 12881, November 23, 1993",13702,""
80 FR 43903, 2015-18292,43905,https://www.federalregister.gov/documents/2015/07/23/2015-18292/delegation-of-certain-authorities-and-assignment-of-certain-functions-under-the-bipartisan,https://www.govinfo.gov/content/pkg/FR-2015-07-23/pdf/2015-18292.pdf,Presidential Document,Executive Order,07/23/2015,2015-07-17,43903,Delegation of Certain Authorities and Assignment of Certain Functions Under the Bipartisan Congressional Trade Priorities and Accountability Act of 2015,"",13701,""
80 FR 43003, 2015-17926,43005,https://www.federalregister.gov/documents/2015/07/20/2015-17926/establishing-an-emergency-board-to-investigate-disputes-between-new-jersey-transit-rail-and-certain,https://www.govinfo.gov/content/pkg/FR-2015-07-20/pdf/2015-17926.pdf,Presidential Document,Executive Order,07/20/2015,2015-07-15,43003,Establishing an Emergency Board To Investigate Disputes Between New Jersey Transit Rail and Certain of Its Employees Represented by Certain Labor Organizations,"See: EO 13711, November 12, 2015",13700,""
80 FR 37529, 2015-16334,37530,https://www.federalregister.gov/documents/2015/07/01/2015-16334/establishing-the-advisory-board-on-toxic-substances-and-worker-health,https://www.govinfo.gov/content/pkg/FR-2015-07-01/pdf/2015-16334.pdf,Presidential Document,Executive Order,07/01/2015,2015-06-26,37529,Establishing the Advisory Board on Toxic Substances and Worker Health,"See: EO 13179, December 7, 2000",13699,""
